MSA,households,med_hh_inc_dol,ms_cara,ms_carp,ms_pt,ms_taxi,ms_bike,ms_walk,ms_wfh,unemp,auto_commuters,annual_excess_fuel_consumed_commuters,ahd,tti,dvmt_freeway,ahd_truck,vmt_arterial,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,builing_area_sqkm,area_sqkm,pop_2014,electricity_kwh,nat_gas_cuft,fueloil_gal,vmt,hh_2014,cf_transport_phh,cf_housing_phh,cf_food_phh,cf_goods_phh,cf_services_phh,cf_phh,cf
"Beckley, WV",48730,38606,0.8303962259871629,0.0949626907985756,0.0004082465809348,0.0233380962101109,0.0007938127962622,0.0255154113084302,0.024585516318523,7.9,,,,,,,,10967.0,25596.0,4.6678216467584575,8739234.813000096,341.4297082747342,2.387435032369837,7252.0,4548089.799000002,13054.0,348.405837214647,1.1807730435381223,0.0062815995097288,3.315569563731801,2.192441914487373,2642.0662857926955,1374.98934172367,1.6899177748644525,3307.727311761247,125509.0,25444.21097393301,91075.50424211426,58.02973993890724,42213.90588316445,56776.0,14.084362925580416,16.82684337561575,7.170615772684938,4.174961039443397,4.48059073610461,43.99489339939377,2497854.0676439805
"Bellingham, WA",79837,53025,0.7419723807924782,0.0893007051712558,0.0279759905977165,0.012760241773002,0.0166218938885157,0.0481132471457353,0.0632555406312961,9.0,64.0,978.0,2601.0,1.1,,110.0,,9509.0,23068.0,4.851824587233147,6308885.12599995,273.490771891796,2.5352823640761386,6590.0,3262893.231999994,12058.0,270.5998699618505,1.095053618684618,0.0080444518162215,1.467396782245734,1.0169465553685335,973.5658569197916,503.5186696233226,9.72430986936795,6480.183216326283,165428.0,11287.154002476816,39816.92858682492,17.71670769953162,23509.526083855213,71412.0,16.03882252871326,10.875657287519168,7.590141451265809,5.034672472069766,5.5793751617755865,50.28183414253769,3590726.3397869016
"Billings, MT",66009,51481,0.792164618240497,0.1092561361788864,0.0099610536149767,0.0094393419152885,0.006964244549326,0.0319942733041336,0.0402203321968915,4.5,65.0,913.0,2010.0,1.08,,63.0,,13038.0,33362.0,5.1176560822212,16933092.497999933,507.5562765421717,2.6675870532290227,9776.0,8766506.810000036,17353.0,505.1868155362206,1.0996543066764728,0.0040915115541981,0.772427427237835,0.579172459631621,1003.1895285634585,519.3657233556747,17.541709356325928,16879.25563003801,147301.0,29715.650912224333,167595.1787995633,12.827747177288243,82838.83462485534,64092.0,16.98894317163883,11.554212067458444,7.310577137458943,4.852797724638721,5.375785258871647,51.51704646424697,3301830.5419865167
"Binghamton, NY",99616,48290,0.802300189256078,0.0901514048624253,0.025831634881351,0.0084073373125636,0.0032118940165963,0.035030572135682,0.0350669675353035,8.4,,,,,,,,10477.0,26912.0,5.137348477617639,10415024.979999963,387.0030090665861,2.6803474276987687,8245.0,5483928.640000017,13961.0,392.80342668863386,1.0716749194213036,0.0052288518014468,3.268159337759143,2.5719169361290577,3248.827063222451,1710.6378345347766,8.83843013998542,3205.780048405992,256761.0,14761.312316500656,90422.19368686642,453.2935887047282,42607.82320234468,112175.0,13.579216321523166,10.575176277608438,7.287575103097048,4.8174694847760495,5.3297437381403086,44.593220969059736,5002244.562204276
"Birmingham-Hoover, AL",435724,48438,0.8524307183122128,0.0933932232543541,0.0062933328985607,0.0073755089896021,0.000947668328313,0.0104549215575183,0.0291046266594385,9.3,,,,,,,,78431.0,189591.0,4.834593464318956,47035196.51400066,248.08770729623592,2.524945493491094,55084.0,24575308.492000222,98997.0,248.2429618271283,1.0926746375976344,0.0064143357879531,6.638502561209091,4.662381903604972,3981.1206350188863,2080.08629708466,30.1243205090974,11814.56198545401,922420.0,69046.51854927214,160863.55061916134,10.392669040353711,135206.92495674902,617890.0,17.759044591858714,15.935755561748548,7.614700498591163,5.439614560303244,6.123133797980967,54.6955380405928,33795825.99990188
"Bismarck, ND",49468,62375,0.8090570776605357,0.1130679816836914,0.001163912584039,0.0047475381717383,0.0053141798244942,0.0198784017642464,0.0467709083112547,3.3,50.0,587.0,1352.0,1.08,,47.0,,6859.0,19081.0,5.56378480828109,12557890.118999971,658.1358481735743,2.9026097098702435,5742.0,6520616.62100001,9904.0,658.3821305533128,1.0617589804335392,0.002827140549273,0.6095733935912887,0.5103033133111503,1116.0454433861096,579.5005688833268,10.456106027305044,11252.131526919748,96110.0,34776.903927911044,145081.68022524624,34.45413787425139,92186.3285362236,40381.0,18.078155198604847,17.506606824047967,7.34746187988713,5.020038455374905,5.595555173568834,54.11936590604057,2185394.1146518243
"Bloomington, IL",71161,61173,0.7995142255114644,0.0911761347712811,0.0181542645395003,0.0111375219273206,0.004712427730665,0.0453389522633146,0.0299664732564536,6.2,,,,,,,,9033.0,24503.0,5.425218642754345,9449337.03399995,385.6400046524895,2.9479685597254512,7647.0,4997883.852000003,13257.0,376.9996116768502,1.043363873413884,0.0055819567021196,2.940565208381241,2.489372539410091,3076.097832884828,1626.9902989839068,4.594963851216923,3071.8584217258685,151167.0,12406.779889164209,64486.51516413201,4.137591561554984,24313.3863078582,60283.0,16.89109026198505,19.2700813377532,7.391646192621406,5.548245732065151,6.300701305684903,53.02277375434157,3196371.8702329723
"Bloomington, IN",62317,42416,0.708472775564409,0.1030677290836653,0.0401859229747676,0.0053652058432934,0.0266268260292164,0.0777290836653386,0.0385524568393094,7.7,64.0,793.0,1735.0,1.1,,116.0,,7717.0,19047.0,4.9363742386937925,6274297.861000077,329.4113435711701,2.593235713360114,5666.0,3223635.125000016,9956.0,323.7881804941759,1.0841163463694474,0.0114503816793893,3.7305179891222897,2.739032645635207,3033.0933056333147,1558.3554262250923,10.209268767409933,2068.6135336974057,133489.0,22114.446211924434,75223.47270123358,35.32343559608982,50567.36668242533,60102.0,15.341360418480134,14.431263858135695,6.95080885179036,4.575184900011949,5.051196574611006,47.25991116337359,2840415.180741079
"Bloomsburg-Berwick, PA",33793,47909,0.8190041750425235,0.0828307819184578,0.0060048451110767,0.004664708004742,0.0015205401783413,0.0478841296840369,0.0380908200608216,6.0,,,,,,,,6107.0,16016.0,5.245128541018503,6281489.434000032,392.2008887362657,2.732438185688554,4861.0,3226310.0059999893,8262.0,390.4998796901464,1.0819469158783177,0.0077463083999031,3.7745818830100606,3.004460870036336,3882.429378728613,1994.1004253515048,2.202038481446424,1617.9275451642714,86114.0,19292.73006444637,68112.12261931437,586.4766529403514,43024.22426343233,37162.0,14.590215536016483,14.01233128072366,7.261513016369134,4.699036470390164,5.175395449041273,46.31637600783353,1721209.1652031098
"Boise City, ID",232248,50776,0.7919909558213069,0.0856688629418311,0.0041405380579745,0.0156294713041635,0.013534472099062,0.0195121089540901,0.0695235908215717,8.5,,,,,,,,43821.0,111007.0,5.066383697314073,34176719.23499992,307.87895569648686,2.631249857374318,33086.0,17426396.137999967,58009.0,300.40849071695715,1.127429861793831,0.0074815976831181,1.43122679946098,1.080613630153716,1116.2373402429305,569.1591969769944,73.02067763343719,30617.788890274835,465529.0,51492.27690266488,178428.57693611886,173.42984962687157,135900.86985013392,181079.0,18.077422322392177,11.62033385844559,8.09192241716183,5.313292881237545,5.884092225593345,55.44415216877708,10039771.630569983
"Boston-Cambridge-Newton, MA-NH",1764845,74494,0.685185357647511,0.0737218589695288,0.1230666071765713,0.0096600852221015,0.0089620361190671,0.0529150005630111,0.0464890543022091,7.9,,,,,,,,166287.0,415686.0,4.999621136949972,70762208.69199961,170.22995408072347,2.696398395545052,132633.0,38059163.87200032,224475.0,169.54745014812482,1.093933780479568,0.0283995990644837,15.000228940013931,11.96440710940042,6383.236997967599,3433.197852781708,271.781972619872,11085.630803701955,4385472.0,52312.65699364968,290438.9626912718,2685.78592754486,166338.02432620846,1748515.0,16.276112994894596,13.136182408513518,7.666608636376629,6.198474392063076,7.140538412493567,53.55784743072247,93646699.6003297
"Boulder, CO",121526,69407,0.6485628026919932,0.0841625259450279,0.0541166111076168,0.0138121894458771,0.042002641675577,0.0492861186238128,0.1080571105100949,6.9,64.0,1859.0,3895.0,1.2,662.0,138.0,1065.0,14392.0,36240.0,5.036131183991106,6702837.937000082,184.9568967163378,2.743468593663146,11311.0,3553050.3990000025,19740.0,179.99242142857156,1.1195170550556912,0.0130699088145896,7.50168579802257,5.895745418387527,3493.7871149555594,1851.9919203610848,18.20133490965292,1918.5021057258496,270539.0,9540.879580518213,56456.81077672981,1.2821386143026017,23619.747108549967,115242.0,16.762102981198847,16.362687979685706,7.3683055677739615,6.008980532835108,6.927190460225827,53.828682523232594,6203325.03134237
"Bowling Green, KY",62821,43396,0.8205685315951475,0.1082187774202983,0.0031198206103149,0.011629688435772,0.0015459825345756,0.0287608462513405,0.0261563531525508,9.6,,,,,,,,11171.0,27250.0,4.878703786590278,11050134.449000046,405.5095210642219,2.54372929907797,8105.0,5722810.554999992,14160.0,404.1532877824853,1.0986694956676253,0.0140536723163841,2.631664371044597,1.909376038610372,2603.190862473006,1348.1798084174595,6.751971606417863,4244.842208190039,134742.0,53887.31546948077,119118.65066366363,47.46954622584681,97690.57417053984,57489.0,16.015389324278832,15.548987050221212,7.456029470627898,4.613699163325907,5.033075349842953,49.133582632354425,2824640.531951424
"Bridgeport-Stamford-Norwalk, CT",333502,83163,0.7283094415678564,0.0844213120383525,0.0938164205668935,0.0089327596616324,0.0028706029163889,0.027103519013536,0.05454594423534,9.6,,,,,,,,30857.0,77301.0,5.01027319570924,15506861.320000228,200.6036315183533,2.634086268917912,23833.0,8163304.714999944,40624.0,200.94783170047128,1.091871271547315,0.0225728633320204,16.553302056655195,12.785262595724252,8318.688122002355,4379.2218533205305,68.32242502141834,1864.099373912775,825395.0,8029.257092299452,36422.37648850257,452.64284331769295,25898.776504582653,318510.0,18.8326774975019,14.227749094848557,8.051871588754475,7.236573603797205,8.487206245157251,61.44100643271274,19569574.95888333
