msa,municipality
"Madera, CA","['Madera County, CA']"
"Madison, WI","['Columbia County, WI', 'Dane County, WI', 'Green County, WI', 'Iowa County, WI']"
"Manchester-Nashua, NH","['Hillsborough County, NH']"
"Manhattan, KS","['Geary County, KS', 'Pottawatomie County, KS', 'Riley County, KS']"
"Mankato, MN","['Blue Earth County, MN', 'Nicollet County, MN']"
"Mansfield, OH","['Richland County, OH']"
"McAllen-Edinburg-Mission, TX","['Hidalgo County, TX']"
"Medford, OR","['Jackson County, OR']"
"Memphis, TN-MS-AR","['Crittenden County, AR', 'DeSoto County, MS', 'Marshall County, MS', 'Tate County, MS', 'Tunica County, MS', 'Fayette County, TN', 'Shelby County, TN', 'Tipton County, TN']"
"Merced, CA","['Merced County, CA']"
"Miami-Fort Lauderdale-Pompano Beach, FL","['Broward County, FL', 'Miami-Dade County, FL', 'Palm Beach County, FL']"
"Michigan City-La Porte, IN","['LaPorte County, IN']"
"Midland, MI","['Midland County, MI']"
"Midland, TX","['Martin County, TX', 'Midland County, TX']"
"Milwaukee-Waukesha, WI","['Milwaukee County, WI', 'Ozaukee County, WI', 'Washington County, WI', 'Waukesha County, WI']"
"Minneapolis-St. Paul-Bloomington, MN-WI","['Anoka County, MN', 'Carver County, MN', 'Chisago County, MN', 'Dakota County, MN', 'Hennepin County, MN', 'Isanti County, MN', 'Le Sueur County, MN', 'Mille Lacs County, MN', 'Ramsey County, MN', 'Scott County, MN', 'Sherburne County, MN', 'Washington County, MN', 'Wright County, MN', 'Pierce County, WI', 'St. Croix County, WI']"
"Missoula, MT","['Missoula County, MT']"
"Mobile, AL","['Mobile County, AL', 'Washington County, AL']"
"Modesto, CA","['Stanislaus County, CA']"
"Monroe, LA","['Morehouse County, LA', 'Ouachita County, LA', 'Union County, LA']"
"Monroe, MI","['Monroe County, MI']"
"Montgomery, AL","['Autauga County, AL', 'Elmore County, AL', 'Lowndes County, AL', 'Montgomery County, AL']"
"Morgantown, WV","['Monongalia County, WV', 'Preston County, WV']"
"Morristown, TN","['Grainger County, TN', 'Hamblen County, TN', 'Jefferson County, TN']"
"Mount Vernon-Anacortes, WA","['Skagit County, WA']"
"Muncie, IN","['Delaware County, IN']"
"Muskegon, MI","['Muskegon County, MI']"
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","['Brunswick County, NC', 'Horry County, SC']"
"Napa, CA","['Napa County, CA']"
"Naples-Marco Island, FL","['Collier County, FL']"
"Nashville-Davidson--Murfreesboro--Franklin, TN","['Cannon County, TN', 'Cheatham County, TN', 'Davidson County, TN', 'Dickson County, TN', 'Macon County, TN', 'Maury County, TN', 'Robertson County, TN', 'Rutherford County, TN', 'Smith County, TN', 'Sumner County, TN', 'Trousdale County, TN', 'Williamson County, TN', 'Wilson County, TN']"
"New Bern, NC","['Craven County, NC', 'Jones County, NC', 'Pamlico County, NC']"
"New Haven-Milford, CT","['New Haven County, CT']"
"New Orleans-Metairie, LA","['Jefferson County, LA', 'Orleans County, LA', 'Plaquemines County, LA', 'St. Bernard County, LA', 'St. Charles County, LA', 'St. James County, LA', 'St. John the Baptist County, LA', 'St. Tammany County, LA']"
"New York-Newark-Jersey City, NY-NJ-PA","['Bergen County, NJ', 'Essex County, NJ', 'Hudson County, NJ', 'Hunterdon County, NJ', 'Middlesex County, NJ', 'Monmouth County, NJ', 'Morris County, NJ', 'Ocean County, NJ', 'Passaic County, NJ', 'Somerset County, NJ', 'Sussex County, NJ', 'Union County, NJ', 'Bronx County, NY', 'Kings County, NY', 'Nassau County, NY', 'New York County, NY', 'Putnam County, NY', 'Queens County, NY', 'Richmond County, NY', 'Rockland County, NY', 'Suffolk County, NY', 'Westchester County, NY', 'Pike County, PA']"
"Niles, MI","['Berrien County, MI']"
"North Port-Sarasota-Bradenton, FL","['Manatee County, FL', 'Sarasota County, FL']"
